segment_a_price_change,segment_b_price_change,portfolio_acceptance,accepted_revenue,accepted_gross_loss,cost,expected_profit
-1.000000000000000056e-01,-1.000000000000000056e-01,8.752656146334563125e-01,7.502266673413546414e+02,6.058776591285615041e+02,-1.443490082127931657e+02,1.443490082127931657e+02
-9.333333333333333759e-02,-1.000000000000000056e-01,8.726818893939526367e-01,7.514036145162822322e+02,6.040173769561188237e+02,-1.473862375601634369e+02,1.473862375601634369e+02
-8.666666666666666963e-02,-1.000000000000000056e-01,8.699838898676922616e-01,7.524417415061120664e+02,6.020748172972114389e+02,-1.503669242089007128e+02,1.503669242089007128e+02
-8.000000000000000167e-02,-1.000000000000000056e-01,8.671679597560463248e-01,7.533353990303703540e+02,6.000473476168263005e+02,-1.532880514135440251e+02,1.532880514135440251e+02
-7.333333333333333370e-02,-1.000000000000000056e-01,8.642304662358075706e-01,7.540788620611772330e+02,5.979323522822544419e+02,-1.561465097789228480e+02,1.561465097789228480e+02
-6.666666666666667962e-02,-1.000000000000000056e-01,8.611678167429485109e-01,7.546663462706021619e+02,5.957272446473958780e+02,-1.589391016232062839e+02,1.589391016232062839e+02
-6.000000000000000472e-02,-1.000000000000000056e-01,8.579764771953608538e-01,7.550920265020106399e+02,5.934294801731327880e+02,-1.616625463288778235e+02,1.616625463288778235e+02
-5.333333333333333676e-02,-1.000000000000000056e-01,8.546529916628149426e-01,7.553500573403574663e+02,5.910365705896997497e+02,-1.643134867506577166e+02,1.643134867506577166e+02
-4.666666666666666879e-02,-1.000000000000000056e-01,8.511940034763132434e-01,7.554345958414992310e+02,5.885460990954185263e+02,-1.668884967460806763e+02,1.668884967460806763e+02
-4.000000000000000083e-02,-1.000000000000000056e-01,8.475962777506255152e-01,7.553398264625355978e+02,5.859557365729233425e+02,-1.693840898896122837e+02,1.693840898896122837e+02
-3.333333333333333981e-02,-1.000000000000000056e-01,8.438567252731075108e-01,7.550599882137935310e+02,5.832632587891102958e+02,-1.717967294246832068e+02,1.717967294246832068e+02
-2.666666666666667185e-02,-1.000000000000000056e-01,8.399724276889007912e-01,7.545894040281743855e+02,5.804665645284815128e+02,-1.741228394996928444e+02,1.741228394996928444e+02
-2.000000000000000389e-02,-1.000000000000000056e-01,8.359406638874156137e-01,7.539225123151661592e+02,5.775636945914121725e+02,-1.763588177237539298e+02,1.763588177237539298e+02
-1.333333333333333592e-02,-1.000000000000000056e-01,8.317589374677440972e-01,7.530539006348610656e+02,5.745528515692487872e+02,-1.785010490656122499e+02,1.785010490656122499e+02
-6.666666666666667962e-03,-1.000000000000000056e-01,8.274250051315962251e-01,7.519783413919268469e+02,5.714324202872222713e+02,-1.805459211047046040e+02,1.805459211047046040e+02
0.000000000000000000e+00,-1.000000000000000056e-01,8.229369058218147792e-01,7.506908294108773134e+02,5.682009887841795717e+02,-1.824898406266977133e+02,1.824898406266977133e+02
6.666666666666667962e-03,-1.000000000000000056e-01,8.182929903929336835e-01,7.491866212124702997e+02,5.648573696753852573e+02,-1.843292515370851561e+02,1.843292515370851561e+02
1.333333333333333592e-02,-1.000000000000000056e-01,8.134919515681260371e-01,7.474612757671394547e+02,5.614006217215237484e+02,-1.860606540456157347e+02,1.860606540456157347e+02
2.000000000000000389e-02,-1.000000000000000056e-01,8.085328539048539653e-01,7.455106964555773175e+02,5.578300714039678496e+02,-1.876806250516094678e+02,1.876806250516094678e+02
2.666666666666667185e-02,-1.000000000000000056e-01,8.034151634603239334e-01,7.433311739197466750e+02,5.541453342839062088e+02,-1.891858396358404661e+02,1.891858396358404661e+02
3.333333333333332593e-02,-1.000000000000000056e-01,7.981387768182618414e-01,7.409194294405392611e+02,5.503463359016215009e+02,-1.905730935389177603e+02,1.905730935389177603e+02
4.000000000000000777e-02,-1.000000000000000056e-01,7.927040491114616394e-01,7.382726584321101200e+02,5.464333319527253252e+02,-1.918393264793847379e+02,1.918393264793847379e+02
4.666666666666666186e-02,-1.000000000000000056e-01,7.871118206509888360e-01,7.353885735987461203e+02,5.424069274611848641e+02,-1.929816461375612562e+02,1.929816461375612562e+02
5.333333333333334370e-02,-1.000000000000000056e-01,7.813634417538208865e-01,7.322654472592570301e+02,5.382680946552239902e+02,-1.939973526040330682e+02,1.939973526040330682e+02
5.999999999999999778e-02,-1.000000000000000056e-01,7.754607953471297499e-01,7.289021523077112761e+02,5.340181892424063790e+02,-1.948839630653048403e+02,1.948839630653048403e+02
6.666666666666667962e-02,-1.000000000000000056e-01,7.694063169203109176e-01,7.252982012492732338e+02,5.296589647750968197e+02,-1.956392364741764425e+02,1.956392364741764425e+02
7.333333333333333370e-02,-1.000000000000000056e-01,7.632030113962258167e-01,7.214537827274117490e+02,5.251925847977555577e+02,-1.962611979296562197e+02,1.962611979296562197e+02
8.000000000000001554e-02,-1.000000000000000056e-01,7.568544665017625794e-01,7.173697949452209741e+02,5.206216324737420109e+02,-1.967481624714789064e+02,1.967481624714789064e+02
8.666666666666666963e-02,-1.000000000000000056e-01,7.503648622354497366e-01,7.130478753803606651e+02,5.159491174019967730e+02,-1.970987579783638921e+02,1.970987579783638921e+02
9.333333333333335147e-02,-1.000000000000000056e-01,7.437389760569986796e-01,7.084904262013450307e+02,5.111784793535119888e+02,-1.973119468478330134e+02,1.973119468478330134e+02
1.000000000000000056e-01,-1.000000000000000056e-01,7.369821834605910782e-01,7.037006348135312237e+02,5.063135886840985904e+02,-1.973870461294326901e+02,1.973870461294326901e+02
1.066666666666666874e-01,-1.000000000000000056e-01,7.301004536404920309e-01,6.986824889968802381e+02,5.013587432136272355e+02,-1.973237457832529458e+02,1.973237457832529458e+02
1.133333333333333415e-01,-1.000000000000000056e-01,7.231003400138917847e-01,6.934407861447230061e+02,4.963186614024750725e+02,-1.971221247422479905e+02,1.971221247422479905e+02
1.199999999999999956e-01,-1.000000000000000056e-01,7.159889654311565321e-01,6.879811361733400190e+02,4.911984717029056355e+02,-1.967826644704344119e+02,1.967826644704344119e+02
