;id;X_age;X_bonus_malus_rating;X_distr_channel;X_vehicle_type;X_ttm_claims;X_policy_count;X_risk_code;X_vehicle_age;X_policy_tenure;Y;U;Y_hat
7;5;93.0;45.0;5;7;0;1;0;24.0;24.0;175.7725;0.12309946095094504;241.63335561328398
16;85;78.0;45.0;5;0;0;2;0;5.0;24.0;180.8686;0.10704677318229922;248.07573996130392
24;93;78.0;45.0;5;1;0;1;0;21.0;24.0;165.6403;0.09689489816186038;217.20542336020375
32;119;49.0;45.0;5;1;0;1;0;19.0;24.0;171.3347;0.09720914677528844;228.44753559459923
118;395;49.0;45.0;2;2;0;4;0;16.0;24.0;170.0981;0.10201113357527217;238.90479036685988
139;470;44.0;45.0;5;2;0;3;0;11.0;24.0;157.1137;0.0869198548567058;252.89725041237796
146;478;74.0;45.0;2;1;0;2;0;19.0;24.0;151.5689;0.11685180798963367;220.32508791783266
154;527;57.0;45.0;3;1;0;2;3;15.0;24.0;243.6865;0.08725760351927576;260.62239729452995
269;1041;94.0;45.0;2;1;0;3;0;24.0;24.0;272.9663;0.09742484694997153;203.97665019634755
294;1196;75.0;45.0;7;1;0;1;0;25.0;24.0;157.0937;0.042753464970269266;209.5234526463923
310;1229;59.0;45.0;4;2;1;5;0;16.0;24.0;258.0571;0.061819264031100093;241.43098955755173
326;1262;50.0;45.0;5;2;0;1;4;13.0;24.0;223.5217;0.09716416795326807;282.48378277288435
354;1416;53.0;45.0;5;1;0;2;0;25.0;24.0;183.7706;0.08711621989589194;213.49337052548603
358;1434;65.0;45.125;0;1;0;2;0;24.0;24.0;230.343;0.09727667000950761;212.03719585685764
402;1679;56.0;45.0;5;0;0;1;0;7.0;24.0;169.1307;0.09725791946701588;248.09483950708295
436;1776;71.0;45.0;4;1;0;3;0;25.0;23.0;161.5802;0.04864333625035745;205.1861021696629
441;1784;71.0;48.8703;5;1;0;1;0;17.0;23.0;151.7484;0.09352059066191139;232.62848036670925
446;1803;75.0;50.0;5;1;0;1;0;24.0;24.0;160.0792;0.06847110680213299;220.3922062834801
461;1956;71.0;45.0;4;1;0;5;0;24.0;23.0;209.54;0.08728643695714432;206.67562209237943
475;2011;48.0;45.0;5;1;0;3;0;19.0;24.0;205.7604;0.04281484678295721;227.00853383805907
511;2212;58.0;45.0;8;1;0;2;0;23.0;24.0;167.3257;0.10198254063780982;218.0212219621046
519;2220;85.0;45.0;10;2;0;1;4;24.0;24.0;276.6462;0.07736885596115178;250.679095319006
608;2566;50.0;45.0;5;2;0;2;0;14.0;24.0;211.6642;0.08714652737685456;244.83210872244132
641;2716;55.0;45.0;0;6;0;3;0;24.0;24.0;172.4117;0.10700143899746953;242.1619243356031
719;2948;77.0;45.0;8;1;0;1;0;19.0;24.0;188.7869;0.04276303069757494;223.48143360502976
757;3031;84.0;45.0;7;7;0;3;0;24.0;24.0;193.7034;0.10214895556815225;243.69154553568112
765;3061;70.0;45.0;7;1;0;2;0;10.0;24.0;377.819;0.12747109065451975;243.6255673670602
781;3132;64.0;45.0;4;1;0;1;0;24.0;24.0;207.9544;0.10216470533924743;213.35748848359694
830;3258;82.0;45.0;5;1;0;3;0;30.0;24.0;208.6026;0.08402292205370403;194.1931083735854
886;3512;52.0;45.0;5;2;0;4;0;24.0;24.0;189.6146;0.042957662542863234;220.10063377465335
899;3558;75.0;45.0;2;1;0;3;0;22.0;24.0;186.5031;0.09697908506614644;213.78395095907737
938;3762;50.0;45.0;5;2;0;3;0;25.0;24.0;205.3216;0.11210900363137641;219.6064653124664
943;3831;73.0;47.5;3;2;0;1;3;24.0;24.0;256.4814;0.09727255075806666;245.92470393531738
953;3859;56.0;47.766;5;7;0;1;0;16.0;24.0;330.3989;0.08762468640180096;273.1426730062251
1002;4066;69.0;45.0;2;2;1;1;0;30.0;24.0;220.6596;0.05225424137449712;207.76620163298298
1006;4074;57.0;45.0;4;1;0;2;0;25.0;24.0;192.8458;0.08739728840348088;212.22047510179576
1021;4138;78.0;45.0;2;2;0;2;0;21.0;24.0;188.1486;0.04268647228839343;221.54339918119246
1029;4164;88.0;45.0;7;1;1;3;1;24.0;23.0;260.5303;0.0806420596759763;217.87553233400453
1037;4188;88.0;45.0;7;6;0;1;0;31.0;23.0;226.6531;0.09735979785848949;219.1172261771429
1051;4247;72.0;45.0;2;1;1;1;2;13.0;22.0;213.3044;0.08581913922075694;252.5751759103466
1108;4360;67.0;45.0;4;1;1;4;0;19.0;22.0;222.7;0.08423888639425245;222.3919176783201
1133;4435;66.0;45.0;2;7;0;3;0;24.0;24.0;218.3758;0.0989770844571606;245.97458506848494
1194;4778;61.0;45.0;2;1;1;2;0;19.0;24.0;190.1033;0.10850258780357837;228.87912889596743
1210;4824;51.0;45.0;4;2;0;1;0;22.0;24.0;191.5792;0.052149711450929996;226.87798971181147
1212;4843;86.0;45.125;5;1;0;1;0;25.0;24.0;266.4142;0.08725435806349674;206.44609172225427
1365;5315;56.0;45.0;3;1;0;4;0;6.0;24.0;172.8505;0.07619011804999117;254.8060132214324
1373;5323;45.0;45.0;7;1;0;1;0;14.0;24.0;182.7933;0.08734838749560297;241.55036964956153
1760;7006;85.0;45.0;7;1;0;1;0;24.0;23.0;204.23;0.10409832052098135;206.91942109802625
1803;7147;84.0;45.0;5;7;0;4;0;21.0;23.0;166.11;0.10884353741496589;246.8712048309696
1839;7270;81.0;45.0;5;1;0;2;0;24.0;23.0;204.61;0.04002736914129318;207.3052372498094
1893;7497;61.0;45.0;8;6;1;1;0;24.0;23.0;177.82;0.04009672702733098;246.72927129558633
1940;7604;90.0;45.0;5;1;0;15;2;23.0;23.0;159.71;0.1091353077452882;218.26167657770043
1968;7636;72.0;45.0;2;1;0;3;3;24.0;23.0;215.91;0.0845722754851558;232.29045842054998
2016;7787;74.0;45.0;5;1;0;4;4;22.0;23.0;214.12;0.10419390995703345;247.12616620546714
2023;7795;64.0;45.0;5;2;0;4;0;27.0;23.0;199.67;0.09405519106525768;208.00130275808485
2029;7802;53.0;45.0;2;5;0;3;0;15.0;23.0;168.9622;0.07455987197136404;255.44368106896894
2089;7985;82.0;45.0;2;0;0;3;0;26.0;23.0;136.63;0.09397643270145652;194.82327074049647
2095;8011;48.0;45.0;5;1;0;1;0;23.0;23.0;178.6;0.09406494960806278;216.96439746356532
2114;8093;70.0;45.0;3;1;0;1;0;20.0;23.0;150.35;0.039906883937479216;218.0518672981812
2162;8265;49.0;45.0;5;3;0;1;0;28.0;23.0;181.0723;0.09558447095441976;216.82620860254326
2164;8276;72.0;45.125;2;7;0;4;0;23.0;23.0;211.86;0.039932030586236095;244.58056496304627
2193;8335;88.0;45.0;2;2;0;1;0;27.0;23.0;186.24;0.10921391752577321;204.27238804693994
2241;8590;51.0;45.0;5;1;0;1;0;26.0;23.0;214.69;0.05445060319530485;209.68483064053444
2248;8637;58.0;45.0;7;2;0;2;0;11.0;23.0;193.8;0.08426212590299269;248.44210723822346
2276;8777;85.0;45.0;5;1;0;1;0;25.0;23.0;162.73;0.09371351318134334;204.197889777987
2337;8955;90.0;47.5;8;0;0;1;0;30.0;23.0;197.74;0.05451603115201781;191.25469269908928
2344;8962;94.0;45.0;8;1;0;3;4;17.0;23.0;248.18;0.04009186880489962;255.25992913933945
2358;9023;77.0;45.0;2;2;0;2;3;11.0;23.0;239.75;0.09447340980187686;267.6380509413238
2366;9105;75.0;45.0;5;3;0;9;0;26.0;23.0;194.1;0.09407521895929943;212.49498909762286
2424;9356;84.0;45.0;2;1;0;3;0;30.0;23.0;168.23;0.08411103845925225;190.07331899276042
2465;9568;68.0;45.0;8;7;0;2;0;22.0;23.0;212.07;0.10911491488659412;250.10878756204644
2482;9649;68.0;45.0;5;1;0;3;0;12.0;23.0;162.95;0.049217551396133846;236.84563563739601
2483;9662;63.0;50.0;5;2;0;3;4;23.0;23.0;240.6947;0.10717020358154956;262.2567821085416
2492;9795;65.0;45.0;8;1;0;3;0;20.0;23.0;188.1985;0.09713945647813343;220.1092494738802
2549;10017;68.0;45.0;5;6;0;5;0;19.0;23.0;189.9337;0.12702485130337596;249.31701620439696
2555;10039;52.0;45.0;2;0;0;1;0;26.0;23.0;154.0919;0.09694279842094225;201.49583699633558
2569;10108;71.0;45.0;5;6;0;2;0;23.0;23.0;164.07;0.10879502651307366;240.2425917333479
2608;10222;73.0;45.0;5;1;1;1;0;24.0;23.0;191.3698;0.052255894085691715;213.55012697041468
2628;10273;69.0;51.4425;4;1;0;3;0;19.0;23.0;226.5335;0.0773682479633255;231.46779626447423
2635;10281;57.0;45.0;8;1;0;1;0;6.0;23.0;262.99;0.06966044336286548;254.37613101468997
2661;10328;81.0;45.0;5;0;0;2;0;25.0;23.0;154.3612;0.10675480625960414;197.88902209704213
2696;10519;70.0;45.0;4;1;0;2;0;24.0;23.0;187.0217;0.0871465717614586;208.9483116562035
2704;10535;62.0;45.0;4;2;0;5;0;30.0;23.0;156.0765;0.08728732384439668;202.01015677587822
2744;10762;73.0;45.0;5;1;0;2;0;16.0;23.0;155.42;0.09419637112340765;226.69853542580995
2780;10906;69.0;45.0;5;1;0;1;0;26.0;23.0;132.3216;0.09649520562024655;205.43830153961213
2796;10992;87.0;45.0;5;5;0;2;0;15.0;23.0;237.9622;0.037601770365209265;249.13273911101612
2812;11027;52.0;45.0;4;1;0;1;0;22.0;23.0;210.5872;0.1123658038095383;217.96679863695786
2823;11061;68.0;45.0;5;2;0;1;3;15.0;23.0;243.477;0.04272682840678993;262.4595546089263
2826;11077;62.0;45.0;4;1;0;3;0;19.0;23.0;199.0488;0.1072159189103375;221.69396638746315
2846;11164;84.0;45.0;5;7;0;4;0;31.0;23.0;162.3094;0.10695991729376103;224.76974564123933
2860;11178;43.0;45.0;1;1;0;1;0;21.0;23.0;216.7004;0.07743225208629051;221.26990846113472
2900;11321;67.0;45.0;7;1;0;3;0;13.0;23.0;253.1904;0.07721303809307145;235.14508525394072
2915;11396;55.0;45.0;5;2;0;2;0;13.0;23.0;179.0735;0.1142352162659467;242.72268681118737
2923;11404;78.0;45.0;5;1;0;2;0;30.0;23.0;235.9776;0.0475994331665379;193.89285509620416
2931;11435;56.0;45.0;4;3;0;4;1;22.0;23.0;225.5661;0.09732801161167394;236.06824573684395
2968;11633;77.0;45.0;5;1;0;2;0;4.0;23.0;139.3822;0.10193410636365326;253.4914074619589
2976;11680;58.0;45.0;7;2;0;3;0;31.0;23.0;192.8059;0.026680200139103525;202.1909884904315
2991;11712;53.0;45.0;5;1;0;1;0;21.0;23.0;175.224;0.0063119207414510745;220.63177058780707
2995;11769;54.0;45.0;4;3;0;3;0;26.0;23.0;182.3246;0.05707074086546734;219.16345961106003
2998;11823;67.0;45.125;5;5;0;4;0;20.0;23.0;203.706;0.10718388265441374;241.73136586344793
