;id;X_age;X_bonus_malus_rating;X_distr_channel;X_vehicle_type;X_ttm_claims;X_policy_count;X_risk_code;X_vehicle_age;X_policy_tenure;Y;U;Y_hat
7;5;93.0;45.0;5;7;0;1;0;24.0;24.0;175.7725;1.123099460950945;193.96603393554688
16;85;78.0;45.0;5;0;0;2;0;5.0;24.0;180.8686;1.1070467731822993;162.414306640625
24;93;78.0;45.0;5;1;0;1;0;21.0;24.0;165.6403;1.0968948981618605;168.0832977294922
32;119;49.0;45.0;5;1;0;1;0;19.0;24.0;171.3347;1.0972091467752885;175.7124786376953
118;395;49.0;45.0;2;2;0;4;0;16.0;24.0;170.0981;1.1020111335752723;210.38079833984375
139;470;44.0;45.0;5;2;0;3;0;11.0;24.0;157.1137;1.0869198548567058;210.2918701171875
146;478;74.0;45.0;2;1;0;2;0;19.0;24.0;151.5689;1.1168518079896337;178.86428833007812
154;527;57.0;45.0;3;1;0;2;3;15.0;24.0;243.6865;1.0872576035192758;215.7420196533203
269;1041;94.0;45.0;2;1;0;3;0;24.0;24.0;272.9663;1.0974248469499714;174.58863830566406
294;1196;75.0;45.0;7;1;0;1;0;25.0;24.0;157.0937;1.0427534649702692;179.33673095703125
310;1229;59.0;45.0;4;2;1;5;0;16.0;24.0;258.0571;1.0618192640311002;209.441650390625
326;1262;50.0;45.0;5;2;0;1;4;13.0;24.0;223.5217;1.097164167953268;274.0874938964844
354;1416;53.0;45.0;5;1;0;2;0;25.0;24.0;183.7706;1.087116219895892;161.6913604736328
358;1434;65.0;45.125;0;1;0;2;0;24.0;24.0;230.343;1.0972766700095076;174.21473693847656
402;1679;56.0;45.0;5;0;0;1;0;7.0;24.0;169.1307;1.0972579194670158;160.27928161621094
436;1776;71.0;45.0;4;1;0;3;0;25.0;23.0;161.5802;1.0486433362503575;174.33274841308594
441;1784;71.0;48.8703;5;1;0;1;0;17.0;23.0;151.7484;1.0935205906619114;187.9538116455078
446;1803;75.0;50.0;5;1;0;1;0;24.0;24.0;160.0792;1.068471106802133;179.73501586914062
