;id;X_age;X_bonus_malus_rating;X_distr_channel;X_vehicle_type;X_ttm_claims;X_policy_count;X_risk_code;X_vehicle_age;X_policy_tenure;X_policy_premium;U;prob_acceptance;Z
7;5;93.0;45.0;5;7;0;1;0;24.0;24.0;175.7725;1.123099460950945;0.8317726999521255;1
16;85;78.0;45.0;5;0;0;2;0;5.0;24.0;180.8686;1.1070467731822993;0.9625926502048969;1
24;93;78.0;45.0;5;1;0;1;0;21.0;24.0;165.6403;1.0968948981618605;0.9198211804032326;1
32;119;49.0;45.0;5;1;0;1;0;19.0;24.0;171.3347;1.0972091467752885;0.9100044816732407;1
118;395;49.0;45.0;2;2;0;4;0;16.0;24.0;170.0981;1.1020111335752723;0.9275554269552231;1
139;470;44.0;45.0;5;2;0;3;0;11.0;24.0;157.1137;1.0869198548567058;0.9488785900175571;1
146;478;74.0;45.0;2;1;0;2;0;19.0;24.0;151.5689;1.1168518079896337;0.9112962633371353;1
154;527;57.0;45.0;3;1;0;2;3;15.0;24.0;243.6865;1.0872576035192758;0.9390923269093037;1
269;1041;94.0;45.0;2;1;0;3;0;24.0;24.0;272.9663;1.0974248469499714;0.8568328768014908;1
294;1196;75.0;45.0;7;1;0;1;0;25.0;24.0;157.0937;1.0427534649702692;0.9620484076440334;1
310;1229;59.0;45.0;4;2;1;5;0;16.0;24.0;258.0571;1.0618192640311002;0.9562840685248375;1
326;1262;50.0;45.0;5;2;0;1;4;13.0;24.0;223.5217;1.097164167953268;0.9413363896310329;1
354;1416;53.0;45.0;5;1;0;2;0;25.0;24.0;183.7706;1.087116219895892;0.9204221367835999;1
358;1434;65.0;45.125;0;1;0;2;0;24.0;24.0;230.343;1.0972766700095076;0.8448062837123871;1
402;1679;56.0;45.0;5;0;0;1;0;7.0;24.0;169.1307;1.0972579194670158;0.9531133584678173;1
436;1776;71.0;45.0;4;1;0;3;0;25.0;23.0;161.5802;1.0486433362503575;0.9697158597409725;1
441;1784;71.0;48.8703;5;1;0;1;0;17.0;23.0;151.7484;1.0935205906619114;0.9334098175168037;0
446;1803;75.0;50.0;5;1;0;1;0;24.0;24.0;160.0792;1.068471106802133;0.9162712097167969;1
461;1956;71.0;45.0;4;1;0;5;0;24.0;23.0;209.54;1.0872864369571442;0.9397423714399338;1
475;2011;48.0;45.0;5;1;0;3;0;19.0;24.0;205.7604;1.0428148467829572;0.9673896208405495;1
511;2212;58.0;45.0;8;1;0;2;0;23.0;24.0;167.3257;1.1019825406378099;0.8793558329343796;0
519;2220;85.0;45.0;10;2;0;1;4;24.0;24.0;276.6462;1.0773688559611518;0.9049079716205597;0
608;2566;50.0;45.0;5;2;0;2;0;14.0;24.0;211.6642;1.0871465273768546;0.9401460215449333;1
641;2716;55.0;45.0;0;6;0;3;0;24.0;24.0;172.4117;1.1070014389974696;0.8880417123436928;1
